name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A
Watson Samuel,USA,1,4.99,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,4.996,5.362
Tkach Yaroslav,UKR,2,5.19,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.197,5.488
Hammer Zach,USA,3,5.24,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.245,6.325
Zurloni Matteo,ITA,4,5.26,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.318,5.268
ALTYNBEKOV Beknur,KAZ,5,5.30,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.307,DNF
HUANG JINGJIE,CHN,6,5.33,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.362,5.337
Lin YU,CHN,7,5.34,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,DNF,5.343
ERNSBERGER Merritt,USA,8,5.41,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,7.348,5.417
Brosler John,USA,9,5.44,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.442,8.687
ZHANG DINGFENG,CHN,10,5.45,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.481,5.45
Bratschi Noah,USA,11,5.482,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.482,6.472
TANII Kazuki,JPN,12,5.487,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.487,5.724
Pavlenko Kostiantyn,UKR,13,5.51,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.608,5.511
CHU SHOUHONG,CHN,14,5.52,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,DNF,5.527
Amon Kevin,AUT,15,5.553,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.209,5.553
TOKTAROV Damir,KAZ,16,5.557,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.557,5.724
HOM Michael,USA,17,5.60,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,7.017,5.609
Pitcher Ethan,CAN,18,5.70,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.836,5.707
FUJINO Shuto,JPN,19,5.71,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.716,7.322
Robbiati Luca,ITA,20,5.77,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.848,5.772
YESSIPOV Matvey,KAZ,21,5.78,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.903,5.78
LIN Thomas,USA,22,5.810,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.913,5.81
OMASA Ryo,JPN,23,5.813,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,5.813,DNF
MURAT Alisher,KAZ,24,5.85,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2,6.457,5.85
