name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B
MIROSLAW Aleksandra,POL,1,6.34,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,6.34,6.418
ZHOU Yafei,CHN,2,6.44,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,6.641,6.445
KALUCKA Natalia,POL,3,6.591,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,6.951,6.591
JEONG Jimin,KOR,4,6.597,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,6.743,6.597
DENG Lijuan,CHN,5,6.64,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,6.687,6.643
KADEK Adi Asih,INA,6,7.00,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.185,7.003
ZHANG Mengli,CHN,7,7.04,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.045,DNF
ROMERO PÉREZ Leslie Adriana,ESP,8,7.20,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.298,7.207
MADE RITA KUSUMA DEWI Desak,INA,9,7.22,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.226,10.317
SUNG Hanareum,KOR,10,7.23,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.822,7.238
CHUDZIAK Patrycja,POL,11,7.26,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.269,7.769
VER KHADIJAH Alivany,INA,12,7.30,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.306,7.58
CURCIO Sophia,USA,13,7.33,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.677,7.338
NURHIDAYAH Susan,INA,14,7.35,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.146,7.357
ROTHFORK Isis,USA,15,7.361,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.361,7.561
VIGLIONE Capucine,FRA,16,7.362,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.467,7.362
LESTARI Puja,INA,17,7.38,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.936,7.388
KUSUMA Berthdigna Devi Surya,INA,18,7.39,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.393,7.8
YANG Feiyan,CHN,19,7.42,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.215,7.427
FIORIO Agnese,ITA,20,7.440,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.676,7.44
KELLY Piper,USA,21,7.441,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,10.509,7.441
SHI Xinyue,CHN,22,7.54,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.543,7.585
HAYASHI Karin,JPN,23,7.57,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,9.831,7.57
RANDI  Giulia,ITA,24,7.67,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.579,7.673
QALBI ARSYILAH Aninda,INA,25,7.75,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.75,8.444
BROZEK Anna,POL,26,7.84,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,10.465,7.849
TKACHOVA Daria,UKR,27,7.88,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.888,7.936
HWANG Jimin,KOR,28,7.90,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.905,8.126
AMANDA Narda Mutia,INA,29,7.95,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,7.952,8.499
ULZHABAYEVA Tamara,KAZ,30,7.98,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.025,7.987
KOCH Julia,GER,31,8.01,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.166,8.018
RUNNELS Liberty,USA,32,8.20,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.208,8.361
PI Yena,KOR,33,8.30,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.3,8.726
Syarifah Calidris Sabrina,INA,34,8.32,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,10.482,8.327
YUN Dasom,KOR,35,8.71,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,10.432,8.716
COLLI Beatrice,ITA,36,8.99,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,8.99,DNF
RANGI Jorja,NZL,37,9.56,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,9.564,10.06
HOLDER Aniya,RSA,38,9.58,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,9.583,9.898
OATES Tegwen,RSA,39,11.34,IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,11.345,DNF
ZHANG Shaoqin,CHN,40,FALSE START (6863),IFSC World Cup Bali 2025,1407,2025,"Bali, INA",Speed,Women,Qualification,2025-05-02,/api/v1/category_rounds/9390/results,/api/v1/events/1407/result/6,6.863,DNS
