name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,1/8_winner,1/8_time,1/4_winner,1/4_time,1/2_winner,1/2_time,Final_winner,Final_time,Small Final_winner,Small Final_time
WATSON Samuel,USA,1,4.65,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,4.827,True,4.797,True,4.699,True,4.653,,
KHAIBULLIN Rishat,KAZ,2,4.87,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.038,True,4.89,True,4.831,False,4.873,,
HAMMER Zach,USA,3,4.96,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.134,True,5.007,False,4.973,,,True,4.965
NOYA CARDONA Erik,ESP,4,5.08,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.358,True,5.755,False,5.44,,,False,5.087
LONG Jianguo,CHN,5,4.92 (4.78),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.102,False,4.923,,,,,,
MAIMURATOV Amir,KAZ,6,5.96 (4.89),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.004,False,5.967,,,,,,
OMASA Ryo,JPN,7,5.06 (4.95),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.311,False,5.06,,,,,,
ZURLONI Matteo,ITA,8,6.26 (5.08),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,True,5.243,False,6.263,,,,,,
KATIBIN Kiromal,INA,9,5.28 (4.93),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,5.282,,,,,,,,
NURSAMSA Raharjati,INA,10,FALL (4.98),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,FALL,,,,,,,,
LI Xu,CHN,11,5.13 (5.05),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,5.133,,,,,,,,
REBREYEND Pierre,FRA,12,5.58 (5.08),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,5.586,,,,,,,,
ZODDA Gian Luca,ITA,13,6.33 (5.08),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,6.334,,,,,,,,
CARMANNS Leander,GER,14,5.20 (5.08),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,5.201,,,,,,,,
CHU Shouhong,CHN,15,5.16 (5.09),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,5.169,,,,,,,,
FOSSALI Ludovico,ITA,16,5.13 (5.09),IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Final,2025-07-11,/api/v1/category_rounds/10137/results,/api/v1/events/1414/result/2,False,5.134,,,,,,,,
