name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_B,Quali_time_A
LONG Jianguo,CHN,1,4.78,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.788,4.919
MAIMURATOV Amir,KAZ,2,4.89,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.894,5.037
WATSON Samuel,USA,3,4.90,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.901,4.924
HAMMER Zach,USA,4,4.91,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.914,4.945
KATIBIN Kiromal,INA,5,4.93,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,4.936,4.933
OMASA Ryo,JPN,6,4.95,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.031,4.951
NURSAMSA Raharjati,INA,7,4.98,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.133,4.984
KHAIBULLIN Rishat,KAZ,8,5.03,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.088,5.036
LI Xu,CHN,9,5.051,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.107,5.051
NOYA CARDONA Erik,ESP,10,5.057,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.156,5.057
REBREYEND Pierre,FRA,11,5.082,IFSC World Cup Chamonix 2025,1414,2025,"Chamonix, FRA",Speed,Men,Qualification,2025-07-11,/api/v1/category_rounds/9407/results,/api/v1/events/1414/result/2,5.172,5.082
