name,date,elo,year,competed,record_type
ABE Momoko,2021-06-23,1500.0,2021,False,competition
ABE Momoko,2021-07-01,1540.8934063955505,2021,True,competition
ABE Momoko,2021-07-12,1563.77828471403,2021,True,competition
ABE Momoko,2021-07-17,1580.3649703489284,2021,True,competition
ABE Momoko,2021-09-03,1575.3362491857058,2021,True,competition
ABE Momoko,2021-09-16,1589.4437635615873,2021,True,competition
ABE Momoko,2021-12-31,1595.728459897165,2021,True,year_end
ABE Momoko,2022-06-22,1596.1833270474165,2022,True,competition
ABE Momoko,2022-06-30,1589.641297860804,2022,True,competition
ABE Momoko,2022-07-08,1582.759184297123,2022,True,competition
ABE Momoko,2022-07-22,1587.8255374983873,2022,True,competition
ABE Momoko,2022-12-31,1581.6369262010794,2022,True,year_end
ADAMENKO VIKTORIYA,2023-08-01,1500.0,2023,False,competition
ADAMENKO VIKTORIYA,2023-12-31,1489.3274666873067,2023,True,year_end
ADAMOVSKA Eliska,2022-06-22,1500.0,2022,False,competition
ADAMOVSKA Eliska,2022-12-31,1500.4324839446256,2022,True,year_end
ADAMOVSKA Eliska,2024-06-26,1497.8026352423394,2024,True,competition
ADAMOVSKA Eliska,2024-12-31,1497.8026352423394,2024,True,year_end
AGAMBAYEVA Margarita,2025-04-25,1500.0,2025,False,competition
AGAMBAYEVA Margarita,2025-12-31,1491.2930338876265,2025,True,year_end
AGUADO Valentina,2024-07-17,1500.0,2024,False,competition
AGUADO Valentina,2024-12-31,1501.6458822818236,2024,True,year_end
AGUADO Valentina,2025-06-25,1498.2424107738832,2025,True,competition
AGUADO Valentina,2025-07-11,1493.061795749656,2025,True,competition
AGUADO Valentina,2025-07-18,1494.2398327710168,2025,True,competition
AGUADO Valentina,2025-12-31,1494.2398327710168,2025,True,year_end
AISYAH RAMADHANI SUAT NURUL,2021-07-01,1500.0,2021,False,competition
AISYAH RAMADHANI SUAT NURUL,2021-12-31,1486.8021350452927,2021,True,year_end
AISYAH RAMADHANI SUAT NURUL,2022-09-24,1473.9143420180555,2022,True,competition
AISYAH RAMADHANI SUAT NURUL,2022-12-31,1473.9143420180555,2022,True,year_end
ALERWI Rowaida,2024-10-02,1500.0,2024,False,competition
ALERWI Rowaida,2024-12-31,1486.4155024706981,2024,True,year_end
ALERWI Rowaida,2025-04-25,1472.2691701747267,2025,True,competition
ALERWI Rowaida,2025-12-31,1472.2691701747267,2025,True,year_end
ALGOUHI Tahani,2025-04-25,1500.0,2025,False,competition
ALGOUHI Tahani,2025-12-31,1484.676312685787,2025,True,year_end
APEL Anna Maria,2025-04-25,1500.0,2025,False,competition
APEL Anna Maria,2025-07-11,1506.0548774714775,2025,True,competition
APEL Anna Maria,2025-07-18,1516.3190905531778,2025,True,competition
APEL Anna Maria,2025-12-31,1503.2171181725807,2025,True,year_end
ARC Nolwenn,2024-07-12,1500.0,2024,False,competition
ARC Nolwenn,2024-07-17,1498.0869671664543,2024,True,competition
ARC Nolwenn,2024-12-31,1498.0869671664543,2024,True,year_end
ARNOLDI Valentina,2025-07-18,1500.0,2025,False,competition
ARNOLDI Valentina,2025-12-31,1490.1360398694928,2025,True,year_end
ATKINS Käthe,2024-06-26,1500.0,2024,False,competition
ATKINS Käthe,2024-12-31,1490.2639141575582,2024,True,year_end
AVEZOU Zélia,2024-07-12,1500.0,2024,False,competition
AVEZOU Zélia,2024-10-02,1535.9459560766293,2024,True,competition
AVEZOU Zélia,2024-12-31,1529.899796812726,2024,True,year_end
AVEZOU Zélia,2025-07-11,1551.539371556905,2025,True,competition
AVEZOU Zélia,2025-07-18,1554.6782908209332,2025,True,competition
AVEZOU Zélia,2025-12-31,1554.6782908209332,2025,True,year_end
Ackre Anne,2023-08-01,1500.0,2023,False,competition
Ackre Anne,2023-12-31,1489.983249875083,2023,True,year_end
Adamovska Eliska,2018-07-11,1500.0,2018,False,competition
Adamovska Eliska,2018-09-06,1502.1322167392755,2018,True,competition
Adamovska Eliska,2018-09-29,1500.0839879108103,2018,True,competition
Adamovska Eliska,2018-12-31,1500.0839879108103,2018,True,year_end
Adamovska Eliska,2019-07-04,1506.3777698166477,2019,True,competition
Adamovska Eliska,2019-07-11,1500.6992246882144,2019,True,competition
Adamovska Eliska,2019-08-11,1503.5402772510115,2019,True,competition
Adamovska Eliska,2019-12-31,1503.5402772510115,2019,True,year_end
Adamovska Eliska,2021-06-23,1514.0379627732466,2021,True,competition
Adamovska Eliska,2021-07-12,1528.109979460613,2021,True,competition
Adamovska Eliska,2021-07-17,1566.8571389155704,2021,True,competition
Adamovska Eliska,2021-09-16,1590.9436345554589,2021,True,competition
Adamovska Eliska,2021-12-31,1598.3793018405106,2021,True,year_end
Adamovska Eliska,2022-06-22,1608.4699500700717,2022,True,competition
Adamovska Eliska,2022-07-08,1614.941371887237,2022,True,competition
Adamovska Eliska,2022-07-22,1604.4240199338742,2022,True,competition
Adamovska Eliska,2022-09-02,1610.7879116407207,2022,True,competition
Adamovska Eliska,2022-09-09,1606.808546638067,2022,True,competition
Adamovska Eliska,2022-09-24,1609.022690528032,2022,True,competition
Adamovska Eliska,2022-12-31,1603.167300670693,2022,True,year_end
Adamovska Eliska,2023-06-14,1607.0135403439172,2023,True,competition
Adamovska Eliska,2023-07-07,1611.3204449543464,2023,True,competition
Adamovska Eliska,2023-07-14,1643.8914701778697,2023,True,competition
Adamovska Eliska,2023-08-01,1646.7070267554484,2023,True,competition
Adamovska Eliska,2023-09-08,1646.7539772994596,2023,True,competition
Adamovska Eliska,2023-09-22,1620.932060859263,2023,True,competition
Adamovska Eliska,2023-12-31,1620.932060859263,2023,True,year_end
Adams  Isabelle,2017-09-23,1500.0,2017,False,competition
Adams  Isabelle,2017-12-31,1493.922402493325,2017,True,year_end
Agafonova Maria,2007-07-11,1500.0,2007,False,competition
Agafonova Maria,2007-12-31,1490.3404335778673,2007,True,year_end
Agafonova Maria,2008-07-12,1479.758111149824,2008,True,competition
Agafonova Maria,2008-12-31,1479.758111149824,2008,True,year_end
Agambayeva Margarita,2018-07-11,1500.0,2018,False,competition
Agambayeva Margarita,2018-09-06,1481.3608624466644,2018,True,competition
Agambayeva Margarita,2018-12-31,1481.3608624466644,2018,True,year_end
Agambayeva Margarita,2019-08-11,1476.222401337066,2019,True,competition
Agambayeva Margarita,2019-12-31,1476.222401337066,2019,True,year_end
Agambayeva Margarita,2021-09-16,1468.337623571008,2021,True,competition
Agambayeva Margarita,2021-12-31,1468.337623571008,2021,True,year_end
Agambayeva Margarita,2022-06-30,1461.456803912038,2022,True,competition
Agambayeva Margarita,2022-07-08,1456.2717416982618,2022,True,competition
Agambayeva Margarita,2022-09-09,1445.7844990332874,2022,True,competition
Agambayeva Margarita,2022-12-31,1445.7844990332874,2022,True,year_end
Agambayeva Margarita,2023-06-14,1443.8748798965576,2023,True,competition
Agambayeva Margarita,2023-08-01,1448.2646534219837,2023,True,competition
Agambayeva Margarita,2023-12-31,1448.2646534219837,2023,True,year_end
Agrapart Maëlys,2018-09-29,1500.0,2018,False,competition
Agrapart Maëlys,2018-12-31,1493.6281017142107,2018,True,year_end
Aguado Valentina,2017-08-25,1500.0,2017,False,competition
Aguado Valentina,2017-12-31,1500.613155572262,2017,True,year_end
Aguado Valentina,2018-07-20,1499.6860087383473,2018,True,competition
Aguado Valentina,2018-07-27,1502.558288731268,2018,True,competition
Aguado Valentina,2018-12-31,1502.558288731268,2018,True,year_end
Aguado Valentina,2019-07-04,1505.1869367849486,2019,True,competition
Aguado Valentina,2019-07-11,1518.9252038264701,2019,True,competition
Aguado Valentina,2019-07-19,1515.0856820256806,2019,True,competition
Aguado Valentina,2019-08-11,1515.9123399529858,2019,True,competition
Aguado Valentina,2019-12-31,1515.9123399529858,2019,True,year_end
Aguado Valentina,2021-06-23,1510.3459888907169,2021,True,competition
Aguado Valentina,2021-07-01,1503.85692807593,2021,True,competition
Aguado Valentina,2021-07-12,1495.1242308217645,2021,True,competition
Aguado Valentina,2021-07-17,1485.2271223475875,2021,True,competition
Aguado Valentina,2021-09-03,1481.5766913560485,2021,True,competition
Aguado Valentina,2021-09-16,1478.1343472652634,2021,True,competition
Aguado Valentina,2021-12-31,1478.1343472652634,2021,True,year_end
Aguado Valentina,2022-06-22,1478.1090339984246,2022,True,competition
Aguado Valentina,2022-06-30,1474.1637185746679,2022,True,competition
Aguado Valentina,2022-07-08,1473.6690282047884,2022,True,competition
Aguado Valentina,2022-12-31,1473.6690282047884,2022,True,year_end
